Organization,Month_Year,Count,Unique,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),Old Issues (Open for >120 days),Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor),Views count,Views unique,Clones count,Clones unique
usdot-fhwa-stol,2024-01,7125.0,1585.0,1096.0,962.0,534.0,2782.0,1768.0,1014.0,684.0,666.0,616.0,847.0,8710.0,4652.0,3934.0,618.0,157.0,550.0,273.0,278.0,54.0,54.0,0.0,44.0,92.0,92.0,0.0,0.0,36.0,50.0,22.0,22.0,0.0,0.0,16448.0,1318.0,8575.0,2899.0
usdot-fhwa-stol,2024-02,7345.0,1879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16126.0,1661.0,5771.0,1905.0
usdot-fhwa-stol,2024-03,7155.0,1758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16679.0,1475.0,5876.0,1973.0
usdot-fhwa-stol,2024-04,11616.0,2234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25635.0,1918.0,6004.0,1960.0
usdot-fhwa-stol,2024-05,8002.0,1934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17820.0,1569.0,3922.0,1794.0
usdot-jpo-ode,2022-08,0.0,0.0,364.0,378.0,286.0,540.0,364.0,176.0,120.0,114.0,106.0,590.0,1336.0,892.0,272.0,44.0,121.0,209.0,80.0,130.0,8.0,4.0,4.0,34.0,18.0,14.0,4.0,0.0,52.0,4.0,14.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0
usdot-jpo-ode,2022-09,1741.0,742.0,372.0,378.0,294.0,544.0,366.0,178.0,96.0,62.0,80.0,591.0,1352.0,904.0,278.0,44.0,120.0,213.0,80.0,134.0,4.0,2.0,2.0,28.0,18.0,12.0,6.0,0.0,10.0,8.0,13.0,7.0,6.0,0.0,4386.0,824.0,840.0,131.0
usdot-jpo-ode,2022-10,2251.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5084.0,1032.0,643.0,290.0
usdot-jpo-ode,2022-11,2071.0,900.0,376.0,382.0,296.0,552.0,370.0,182.0,98.0,84.0,86.0,585.0,1390.0,936.0,280.0,60.0,135.0,216.0,81.0,136.0,4.0,2.0,2.0,2.0,6.0,4.0,2.0,0.0,4.0,0.0,6.0,4.0,2.0,0.0,5077.0,928.0,904.0,318.0
usdot-jpo-ode,2022-12,1601.0,829.0,382.0,386.0,296.0,556.0,372.0,184.0,90.0,80.0,86.0,580.0,1400.0,940.0,282.0,34.0,157.0,216.0,81.0,136.0,4.0,2.0,2.0,12.0,6.0,4.0,2.0,0.0,22.0,10.0,6.0,4.0,2.0,0.0,3789.0,767.0,1265.0,300.0
usdot-jpo-ode,2023-01,1512.0,711.0,384.0,388.0,294.0,560.0,376.0,184.0,94.0,84.0,88.0,580.0,1416.0,948.0,288.0,46.0,157.0,217.0,81.0,138.0,2.0,2.0,0.0,0.0,8.0,6.0,2.0,2.0,0.0,0.0,6.0,4.0,2.0,2.0,2859.0,625.0,627.0,267.0
